组件,型号/规格,数量,用途,参考价(元)
ESP32-S3-WROOM-1,N8R8,1,机器人主控,25
ESP32-C3 SuperMini,ESP32-C3,4,智能节点核心(BLE),15
MEMS麦克风,INMP441,2,语音拾音,8
I2S功放,MAX98357A,1,喇叭驱动,3
喇叭,3W 8Ω,1,语音播报,3
圆屏,GC9A01 1.28寸,1,表情UI,12
RGB灯带,WS2812 ×8,1,呼吸灯,4
减速电机,N20 30:1 + 霍尔编码器,2,差速驱动,16
电机驱动,TB6612FNG,1,双路电机驱动,4
万向轮,1.5寸,1,底盘支撑,3
电池,18650 ×3 + 保护板,1,机器人供电,15
超声波避障,HC-SR04,1,防撞,3
IMU,MPU6050,1,姿态航向,5
MOSFET,AO3400,2,灯调光,1
步进电机,28BYJ-48,1,窗帘驱动,6
步进驱动,ULN2003,1,窗帘驱动,2
继电器,5V 10A,1,插座开关,3
电能计量,HLW8032,1,功率计量,3
温湿度传感器,SHT40,1,环境感知,6
空气质量传感器,SGP40,1,环境感知,15
光照传感器,BH1750,1,环境感知,2
稳压,DC-DC 5V + LDO 3.3V,3,双电源,8
Type-C座,USB-C,5,供电烧录,3
电阻电容,0603 套件,1,通用,5
PCB打样,嘉立创 5片,3,电路板,15
合计,,,,约300元
